Git Issue,Issue title," epo, Mapping or PostAward",Issue type,Module,Action,
156,"Model ""Individual reports on procedures for the award of contracts""	On hold for future phase",," type: feature request,,  type: clarification needed","module: core,  module: espd",,
153,"Multi-stage procedures at evaluation time	On hold for future phase",," module: evaluation,  type: clarification needed",,,
144,"Pros and cons of using abstract classes	documentation",, type: clarification needed,,,
142,"Diagram comprehension	documentation",, type: documentation,module: core,,
138,"Glossary - Catalogue Request	eCatalogue",, type: feature request,module: catalogue,,
131,"Competency questions	bdti input",," type: question,  ",module: core,,
130,"Competency question	bdti input",, type: question,module: core,,
112,"GLOSSARY - Prior Information Notice	type: feature request",, type: clarification needed, module: notification,,
110,"GLOSSARY - Modification Notice	type: feature request",, type: clarification needed, module: notification,,
103,"Glossary - Change	CM - Relationships", Documents," type: feature request, type: clarification needed"," module: core, ",, 
98,"GLOSSARY - Bargain Purchase Value	type: question",, type: clarification needed, module: core,,
90,"Glossary - Call for competition	module: core",, type: clarification needed,,,
60,"GLOSSARY - Process	module: core",, type: clarification needed,,,
48,"Relationship between use case 'Automated matchmaking...' and the WP of LOD2	Use Case 2"," On hold for future phase,  General - use case"," type: use case,  type: clarification needed", module: core,,
47,"Relationships of the class Payment	CM - Relationships"," ePayment,  On hold for future phase", type: question," module: payment	",,
42,"Detect fraud and compliance with procurement criteria	New use case",, type: use case, module: core,,
41,"Contract award notice	",," type: clarification needed,  type: propose for closing", module: core,To be discussed,
40,"Relationship between Call for Tender and Buyer	CM - Relationships",, type: question,,To be discussed,
37,"Other public entities are directly involved in the e-procurement phases	New use case"," type: use case	", module: core,,,
36,"Buyers need to buy things	New use case", type: use case, module: core,,,
35,"Businesses need to participate in procurement	New use case", type: use case, module: core,,,
34,"Long term analysis about the evolution of procurement activities in the EU Institutions	New use case"," type: use case	", module: core,,,
33,"Analyse the success rate of procurement process and reasons for failure and costs associated	New use case", type: use case, module: core,,,
28,"Meaning of the class ""Evidence""	CM - Classes"," ePayment,  On hold for future phase", type: feature request, module: payment,,
26,"The related classes of ""order"" and ""delivery note"" are missing	CM - Classes", On hold for future phase  ,type: feature request," module: order,  module: fulfilment",,
25,"Level of details of the class ""Value""	CM - Classes",, type: feature request," module: invoicing,  module: core",,
23,"Publications of notices as Linked Open Data to enable its exploitation on the Semantic Web	New use case", ," type: use case, type: clarification needed", module: core,,
22,"Providing information for Contract Registries	New use case",," type: use case,  type: clarification needed", module: contract registry,,
10,"Alerting services	New use case",," type: use case	", module: core,,
9,"Monitor the money flow	New use case",, type: use case, module: core,,
